customer_id,customer_city,customer_state,total_orders,total_items_purchased,total_spent,average_item_value,first_purchase,last_purchase,customer_lifetime_days,days_since_last_purchase,churn_risk_segment,ingestion_timestamp,ingestion_date,pipeline_name,run_id
CUST_000018,Manaus,AM,7,21,26018.590000000004,1238.9804761904763,2021-04-02T21:19:00.000Z,2023-06-20T10:16:00.000Z,809,0,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000036,Manaus,AM,3,8,10247.5,1280.9375,2021-03-02T03:32:00.000Z,2022-04-21T07:18:00.000Z,415,425,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000066,Campo Grande,MS,4,4,4156.87,1039.2175,2021-06-09T23:00:00.000Z,2022-06-14T08:46:00.000Z,370,371,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000089,Joao Pessoa,PB,5,15,21994.440000000002,1466.296,2021-04-10T06:34:00.000Z,2023-04-21T19:22:00.000Z,741,60,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000095,Teresina,PI,1,1,1036.53,1036.53,2022-08-08T15:08:00.000Z,2022-08-08T15:08:00.000Z,0,316,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000105,Recife,PE,4,6,11380.58,1896.7633333333333,2021-01-17T12:26:00.000Z,2022-07-30T07:39:00.000Z,559,325,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000117,Manaus,AM,0,0,0,0,null,null,0,null,Never Purchased,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000119,Teresina,PI,8,11,13052.109999999999,1186.5554545454545,2021-02-01T12:21:00.000Z,2023-05-31T09:07:00.000Z,849,20,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000136,Joao Pessoa,PB,1,3,3487.1,1162.3666666666666,2021-06-08T11:29:00.000Z,2021-06-08T11:29:00.000Z,0,742,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000159,Porto Velho,RO,2,2,2271.27,1135.635,2021-11-11T15:22:00.000Z,2022-06-21T01:37:00.000Z,222,364,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000160,Teresina,PI,2,6,9413.55,1568.925,2021-05-26T05:53:00.000Z,2021-11-25T03:48:00.000Z,183,572,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000188,Manaus,AM,4,7,8525.38,1217.9114285714284,2021-10-21T18:19:00.000Z,2022-12-17T15:54:00.000Z,422,185,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000201,Florianopolis,SC,3,5,8224.21,1644.8419999999999,2022-12-28T23:13:00.000Z,2023-04-27T11:51:00.000Z,120,54,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000205,Florianopolis,SC,5,5,8082.400000000001,1616.48,2021-10-29T18:56:00.000Z,2023-05-14T17:02:00.000Z,562,37,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000227,Aracaju,SE,3,4,7539.76,1884.94,2021-12-18T00:24:00.000Z,2022-12-13T06:06:00.000Z,360,189,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000236,Aracaju,SE,2,6,10281.71,1713.618333333333,2021-01-29T15:29:00.000Z,2021-07-27T00:35:00.000Z,179,693,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000257,Belem,PA,4,9,7851.72,872.4133333333334,2021-09-13T18:40:00.000Z,2023-06-16T02:53:00.000Z,641,4,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000274,Cuiaba,MT,2,2,1584.9099999999999,792.4549999999999,2021-12-18T06:19:00.000Z,2022-09-28T17:41:00.000Z,284,265,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000279,Teresina,PI,6,10,10965.050000000001,1096.505,2021-02-18T14:13:00.000Z,2022-09-25T17:45:00.000Z,584,268,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000286,Porto Velho,RO,4,7,10161.91,1451.7014285714286,2021-01-11T01:56:00.000Z,2022-08-06T07:36:00.000Z,572,318,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000305,Goiania,GO,5,8,11268.57,1408.57125,2021-03-02T15:32:00.000Z,2023-02-11T17:27:00.000Z,711,129,Medium Risk,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000321,Campo Grande,MS,2,2,3820.41,1910.205,2021-03-31T02:45:00.000Z,2021-11-13T04:27:00.000Z,227,584,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000328,Rio De Janeiro,RJ,2,3,3990.4100000000003,1330.1366666666668,2021-09-02T09:45:00.000Z,2022-03-18T05:01:00.000Z,197,459,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000359,Cuiaba,MT,3,5,6173.43,1234.6860000000001,2021-01-06T21:46:00.000Z,2023-04-07T01:48:00.000Z,821,74,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000397,Belem,PA,5,9,8643.29,960.3655555555556,2021-06-09T07:39:00.000Z,2023-03-22T21:52:00.000Z,651,90,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000442,Cuiaba,MT,3,3,2620.1200000000003,873.3733333333334,2022-03-05T20:16:00.000Z,2023-06-09T03:48:00.000Z,461,11,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000499,Manaus,AM,5,10,12485.330000000002,1248.5330000000001,2022-03-27T10:18:00.000Z,2022-12-11T23:34:00.000Z,259,191,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000528,Cuiaba,MT,3,3,2910.4500000000003,970.1500000000001,2021-03-07T12:21:00.000Z,2022-03-28T04:06:00.000Z,386,449,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000558,Belo Horizonte,MG,2,4,3744.13,936.0325,2021-03-27T15:16:00.000Z,2023-04-01T05:02:00.000Z,735,80,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000577,Recife,PE,4,7,10921.36,1560.1942857142858,2021-10-17T10:21:00.000Z,2023-05-14T09:22:00.000Z,574,37,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000623,Salvador,BA,2,6,5516.55,919.4250000000001,2021-02-17T05:52:00.000Z,2022-07-20T22:58:00.000Z,518,335,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000627,Florianopolis,SC,4,5,9846.880000000001,1969.3760000000002,2021-12-11T05:36:00.000Z,2022-05-11T07:32:00.000Z,151,405,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000638,Salvador,BA,5,9,11604.900000000001,1289.4333333333334,2022-09-03T07:41:00.000Z,2023-05-22T20:30:00.000Z,261,29,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000646,Porto Velho,RO,1,4,6363.540000000001,1590.8850000000002,2021-04-16T13:48:00.000Z,2021-04-16T13:48:00.000Z,0,795,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000655,Manaus,AM,4,7,10496.350000000002,1499.4785714285717,2021-05-20T07:07:00.000Z,2023-04-13T19:29:00.000Z,693,68,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000666,Porto Velho,RO,7,8,8256.400000000001,1032.0500000000002,2021-03-28T03:12:00.000Z,2022-10-29T04:00:00.000Z,580,234,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000670,Salvador,BA,3,4,5918.58,1479.645,2021-09-07T09:18:00.000Z,2023-05-07T20:58:00.000Z,607,44,Active,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
CUST_000736,Porto Alegre,RS,3,4,3376.3199999999997,844.0799999999999,2021-01-05T01:03:00.000Z,2021-08-26T18:11:00.000Z,233,663,High Risk - Likely Churned,2026-07-19T18:19:04.064Z,2026-07-19,Silver_Customers_Load,45847a07-2803-4f0b-ae30-7f5720e8bd4b
