order_id,customer_id,order_date,status,region_code
1,26.0,2024-05-17,DELIVERED,NORTH
2,14.0,2024-10-17,PENDING,NORTH
3,21.0,2024-04-18,PENDING,NORTH
4,32.0,2024-07-21,PENDING,NORTH
5,30.0,2024-03-14,RETURNED,NORTH
6,9.0,2024-05-06,PENDING,NORTH
7,36.0,2024-10-02,RETURNED,NORTH
8,48.0,2024-10-26,RETURNED,NORTH
9,38.0,2024-07-23,RETURNED,NORTH
10,15.0,2024-03-11,PENDING,NORTH
11,32.0,2024-02-16,DELIVERED,NORTH
12,8.0,2024-03-19,PENDING,NORTH
13,11.0,2024-12-14,RETURNED,NORTH
14,39.0,2024-02-02,RETURNED,NORTH
15,25.0,2024-11-01,RETURNED,NORTH
16,34.0,2024-05-08,PENDING,NORTH
17,1.0,2024-12-14,PENDING,NORTH
18,8.0,2024-12-15,PENDING,NORTH
19,49.0,2024-05-16,PENDING,NORTH
20,22.0,2024-02-27,RETURNED,NORTH
21,28.0,2024-03-21,RETURNED,NORTH
22,1.0,2024-05-14,PENDING,NORTH
23,49.0,2024-04-01,PENDING,NORTH
24,7.0,2024-11-16,RETURNED,NORTH
25,,2024-09-16,PENDING,NORTH
26,13.0,2024-03-19,RETURNED,NORTH
27,49.0,2024-03-23,PENDING,NORTH
28,50.0,2024-09-28,DELIVERED,NORTH
29,39.0,2024-06-14,RETURNED,NORTH
30,2.0,2024-02-27,RETURNED,NORTH
31,20.0,2024-05-02,DELIVERED,NORTH
32,16.0,2024-10-17,DELIVERED,NORTH
33,6.0,2024-09-05,DELIVERED,NORTH
34,49.0,2024-09-29,DELIVERED,NORTH
35,9.0,2024-12-03,RETURNED,NORTH
36,36.0,2024-03-25,RETURNED,NORTH
37,34.0,2024-11-06,RETURNED,NORTH
38,14.0,2024-10-03,PENDING,NORTH
39,45.0,2024-04-12,PENDING,NORTH
40,20.0,2024-07-23,PENDING,NORTH
41,42.0,2024-07-10,RETURNED,NORTH
42,34.0,2024-08-19,DELIVERED,NORTH
43,16.0,2024-04-25,DELIVERED,NORTH
44,22.0,2024-01-11,PENDING,NORTH
45,36.0,2024-04-27,PENDING,NORTH
46,15.0,2024-01-04,DELIVERED,NORTH
47,46.0,2024-11-19,DELIVERED,NORTH
48,15.0,2024-02-04,DELIVERED,NORTH
49,22.0,2024-02-06,PENDING,NORTH
50,,2024-05-22,PENDING,NORTH
51,32.0,2024-04-19,PENDING,NORTH
52,9.0,2024-10-19,PENDING,NORTH
53,31.0,2024-05-04,RETURNED,NORTH
54,27.0,2024-04-07,DELIVERED,NORTH
55,7.0,2024-12-03,RETURNED,NORTH
56,23.0,2024-08-04,RETURNED,NORTH
57,30.0,2024-01-28,PENDING,NORTH
58,42.0,2024-11-26,DELIVERED,NORTH
59,4.0,2024-07-25,PENDING,NORTH
60,22.0,2024-02-25,DELIVERED,NORTH
61,13.0,2024-04-07,PENDING,NORTH
62,29.0,2024-03-12,RETURNED,NORTH
63,12.0,2024-05-22,RETURNED,NORTH
64,16.0,2024-02-08,RETURNED,NORTH
65,36.0,2024-02-20,DELIVERED,NORTH
66,42.0,2024-10-03,DELIVERED,NORTH
67,6.0,2024-05-01,DELIVERED,NORTH
68,27.0,2024-09-05,RETURNED,NORTH
69,14.0,2024-07-24,DELIVERED,NORTH
70,11.0,2024-07-13,DELIVERED,NORTH
71,25.0,2024-05-15,RETURNED,NORTH
72,19.0,2024-08-04,PENDING,NORTH
73,47.0,2024-10-11,PENDING,NORTH
74,46.0,2024-09-06,DELIVERED,NORTH
75,,2024-05-31,DELIVERED,NORTH
76,4.0,2024-10-23,PENDING,NORTH
77,35.0,2024-02-01,PENDING,NORTH
78,21.0,2024-01-30,DELIVERED,NORTH
79,38.0,2024-09-01,PENDING,NORTH
80,34.0,2024-03-21,DELIVERED,NORTH
81,33.0,2024-02-11,DELIVERED,NORTH
82,5.0,2024-10-31,DELIVERED,NORTH
83,44.0,2024-04-30,RETURNED,NORTH
84,8.0,2024-10-18,DELIVERED,NORTH
85,38.0,2024-10-31,DELIVERED,NORTH
86,40.0,2024-02-11,RETURNED,NORTH
87,43.0,2024-10-25,PENDING,NORTH
88,34.0,2024-06-10,RETURNED,NORTH
89,14.0,2024-12-08,PENDING,NORTH
90,21.0,2024-05-02,RETURNED,NORTH
91,26.0,2024-03-08,PENDING,NORTH
92,42.0,2024-06-02,RETURNED,NORTH
93,21.0,2024-02-07,DELIVERED,NORTH
94,30.0,2024-11-14,PENDING,NORTH
95,7.0,2024-02-07,PENDING,NORTH
96,14.0,2024-09-16,RETURNED,NORTH
97,9.0,2024-06-27,DELIVERED,NORTH
98,16.0,2024-07-08,RETURNED,NORTH
99,11.0,2024-08-12,PENDING,NORTH
100,,2024-06-03,PENDING,NORTH
