product_id,product_name,category,price
1,Product 1,Home,4054.93
2,Product 2,Books,2727.52
3,Product 3,Books,486.12
4,Product 4,Home,4164.08
5,Product 5,Home,2929.03
6,Product 6,Electronics,324.54
7,Product 7,Fashion,3888.03
8,Product 8,Electronics,4291.06
9,Product 9,Electronics,1962.62
10,Product 10,Books,3214.85
11,Product 11,Home,897.01
12,Product 12,Home,1126.58
13,Product 13,Home,3538.92
14,Product 14,Electronics,3084.74
15,Product 15,Fashion,2717.29
16,Product 16,Fashion,900.67
17,Product 17,Books,1422.74
18,Product 18,Fashion,3454.61
19,Product 19,Electronics,1222.34
20,Product 20,Electronics,4044.72
